"sex","age","weight","height","classes"
"Male",18,206,73.5,3
"Male",22,135.7,71.1,2
"Male",19,168.1,68.9,3
"Female",22,153.5,60.5,3
"Female",21,139.3,65.8,3
"Male",18,231.1,68.2,3
"Female",19,178,67.4,3
"Female",18,225.5,68.9,4
"Female",20,116.3,71,3
"Female",22,165.4,67.1,3
"Male",18,178.6,73.4,5
"Male",22,195.7,77.5,6
"Female",22,181.5,66.6,2
"Female",19,112.3,63.7,7
"Male",22,184,63.5,3
"Female",19,153.4,67.3,2
"Female",21,171.2,65.7,3
"Male",17,180.2,73.4,2
"Female",19,156.5,65.1,3
"Male",22,177.6,67.6,5
"Female",19,110.8,71.7,2
"Female",22,152.7,63.6,3
"Male",22,188.5,72.4,3
"Female",18,113.3,69.6,4
"Male",20,182.7,71.1,5
"Male",20,120.5,69.3,2
"Female",17,172.5,69.5,4
"Female",20,145.4,66,4
"Male",21,210,66.4,3
"Male",17,216.4,66,2
"Male",20,227.9,74.8,5
"Female",17,140.2,66.3,3
"Female",18,192.2,67.4,5
"Female",19,139.5,62.6,3
"Female",22,152.4,62.3,4
"Male",20,156.9,72.6,3
"Male",22,210.2,74.6,2
"Male",19,131.1,63.9,2
"Female",19,167.2,64.8,6
"Male",22,165,67.9,2
"Male",21,120.6,64.3,5
"Male",22,181.2,74,6
"Female",22,166.7,65.5,3
"Male",20,211.8,66.4,5
"Female",22,95,56,4
"Female",20,141.9,63.7,5
"Female",20,128.5,66.4,3
"Female",22,144.6,67.1,4
"Male",17,150,69.8,4
"Female",17,130.1,66,4
"Male",18,147.3,69.2,2
"Female",22,169.9,61.3,6
"Female",20,123.6,65.3,2
"Female",22,171,66,3
"Female",20,134.5,65.2,2
"Female",18,148.4,70,3
"Male",19,187.3,72.7,2
"Male",18,167.7,67.4,3
"Female",22,174.6,61.2,3
"Female",17,130.8,64.1,3
"Male",19,177.7,70.9,2
"Female",19,145,67.7,2
"Male",18,199.1,66.4,2
"Male",21,199,70.2,2
"Female",18,92.6,66.8,4
"Female",20,208.2,69.2,4
"Female",17,102.4,65.5,3
"Female",22,116.1,61,4
"Female",19,122,62.4,4
"Male",19,190.5,72.7,3
"Male",18,217.7,71.9,2
"Male",20,186,73,3
"Male",20,205.4,67.5,2
"Male",18,186.5,77.2,6
"Female",20,175.1,66.1,3
"Female",17,124.2,65.2,3
"Female",20,157,67.8,4
"Female",19,176.4,64.2,2
"Female",21,143.5,64.5,3
"Female",18,165.8,65.8,6
"Female",17,146.3,61.8,2
"Female",19,126.3,72.4,4
"Female",17,160,65.3,5
"Male",22,231.8,72.7,2
"Female",18,115.2,66.1,5
"Female",20,163.8,65.5,5
"Female",19,128.8,67.9,2
"Female",19,186.9,68.2,6
"Male",20,237.1,68.2,3
"Female",21,113.1,67.7,4
"Male",20,192.1,65.9,6
"Female",22,113,65.5,2
"Female",18,127.1,62.5,2
"Female",20,115.4,67.7,2
"Male",17,221.9,73.4,4
"Female",19,176.4,74.5,3
"Female",21,157.1,68.9,5
"Female",22,142.2,67.7,3
"Male",22,175.6,77.1,2
"Female",22,157.6,65.6,2
"Female",18,161.8,63.4,3
"Female",17,179.3,59.2,3
"Female",18,142.9,62.4,5
"Male",19,149.2,70.6,2
"Female",17,141.9,71,5
"Male",18,248.6,78.3,5
"Male",22,151.7,63.6,2
"Female",22,160.8,70.1,5
"Male",17,196.4,71.6,5
"Female",21,157.9,71.4,5
"Female",18,135.1,65.2,3
"Male",17,164.3,72.1,3
"Male",19,117.5,70.2,5
"Female",21,110.9,61.3,2
"Female",18,188.1,64.5,3
"Female",17,152.3,63.5,3
"Female",19,101.1,70.3,4
"Male",19,187.9,71.1,4
"Female",22,150.7,65.3,3
"Female",21,144.6,66.2,2
"Female",21,114,64.5,5
"Female",21,158.2,64.5,3
"Male",20,227.2,69.5,3
"Female",18,206.6,63.7,3
"Female",18,146.5,64.7,3
"Male",19,227.7,72.8,3
"Female",17,99.7,65.9,3
"Female",20,143.4,65.8,3
"Female",21,151.6,63,4
"Female",17,188.2,63.2,3
"Male",19,165.9,72.2,3
"Female",21,121.5,64.6,3
"Female",21,176.4,66,3
"Female",18,179.6,69.4,4
"Male",17,177,70.5,3
"Male",22,214.4,65.3,2
"Male",20,251.7,74.7,4
"Male",21,174.9,71.1,3
"Male",20,230.6,72.7,4
"Female",21,123.1,66,2
"Male",19,171.8,72,3
"Male",19,149.3,72.2,3
"Female",21,149.8,69.6,5
"Female",19,159.7,68.5,2
"Female",22,130.4,60.4,2
"Female",18,126,62.5,7
"Male",21,181.3,71.5,2
"Female",19,154.3,75.9,4
"Male",18,220.2,67.3,3
"Male",21,206,69.1,4
"Female",19,116.5,62.2,2
"Male",17,139.7,65.5,2
"Female",17,154.2,58.8,5
"Male",22,141.6,71.8,3
"Male",17,197.9,75.8,3
"Male",17,188.6,69.4,5
"Female",17,137.4,62.5,3
"Female",22,125.8,66.7,3
"Male",17,223,74.9,2
"Female",22,151.4,64,3
"Female",22,109.9,66,3
"Male",22,202.7,67.5,4
"Female",17,131.1,68.9,5
"Female",17,114.3,68.6,2
"Male",20,156.4,65.9,7
"Female",17,149.8,62.2,2
"Female",20,163.4,64.3,3
"Male",21,197.9,73.6,4
"Male",19,149.9,71.5,2
"Male",17,196.9,66.1,2
"Female",21,129.6,60.5,2
"Female",18,167.8,68,3
"Male",22,196.6,71.5,4
"Female",20,163.6,68.4,3
"Male",20,163.1,64.8,2
"Male",19,147.4,74.8,2
"Female",20,176.8,64.9,3
"Male",21,158.6,76.4,4
"Female",20,103.4,68.4,2
"Female",18,111.6,60.9,3
"Male",20,163.3,64.8,5
"Female",19,141.2,70.1,3
"Female",18,158.4,66.3,3
"Female",18,112.8,64.1,7
"Female",21,120.7,70,3
"Female",21,208.2,63.9,3
"Male",18,173.2,64.2,3
"Male",22,252.6,68,5
"Female",21,182.7,62.3,2
"Female",18,129.3,62.6,4
"Male",17,197.6,66.3,4
"Male",19,120.9,74.4,2
"Female",19,133.9,66.6,6
"Male",20,203,68.8,3
"Male",22,109.5,71.1,2
"Female",21,157.5,59.7,3
"Female",21,136.3,65.6,3
"Female",22,144.5,62.3,3
"Female",20,123.9,61.7,3
"Male",17,147.7,65.7,3
"Female",17,166.9,61.8,2
"Female",20,180.4,65,7
"Male",19,144.2,65.5,3
"Male",17,152.2,65.6,3
"Male",21,141.4,69.3,2
"Male",22,168.2,68.9,4
"Female",21,184.2,64.5,4
"Female",17,167,58.8,3
"Male",17,140.7,72.9,2
"Female",19,164.3,65.3,2
"Male",17,144.2,68.3,5
"Male",17,117.1,72.7,2
"Female",17,156.3,67.5,3
"Female",18,139.8,62.7,2
"Female",20,182.4,62.8,2
"Female",22,182.3,65,2
"Male",20,237.2,71.2,5
"Female",17,154.9,66.3,3
"Male",18,191.1,78.1,2
"Female",18,157.6,64.6,3
"Female",22,148.9,62.2,4
"Male",19,231.2,73.7,6
"Female",22,147.1,63.1,2
"Male",21,188.8,63.9,4
"Female",19,181.8,62.8,2
"Male",20,182.4,69.9,5
"Female",21,131.4,65.9,3
"Male",21,139.4,74.1,6
"Female",20,154.3,64.7,3
"Female",18,154.4,65.6,4
"Female",22,113.7,66.5,2
"Male",21,154.1,68.7,4
"Male",20,168,59,2
"Female",22,169.2,64.3,7
"Male",17,149.5,78.8,4
"Female",20,158.6,66.9,2
"Female",21,143.2,64.3,5
"Female",22,191,62.5,4
"Male",20,204.8,69.9,3
"Female",18,122.6,73.8,6
"Male",17,189.7,75.9,2
"Female",21,113.1,69.6,5
"Male",19,136.6,71.1,2
"Female",22,134.3,62,5
"Female",21,131.2,60.7,4
"Female",20,152.1,66.3,3
"Male",20,242.2,74.8,4
"Female",22,130.7,67.7,2
"Male",18,197.4,68.9,2
"Female",21,143.1,67.1,2
"Female",22,162.4,65.1,3
"Male",18,149.5,65.4,4
"Male",17,197,78.5,2
"Male",17,189.9,68.1,2
"Female",20,177.5,66,4
"Female",19,177.2,66.5,3
"Female",22,140.2,63.3,2
"Male",20,161.3,66.4,3
"Male",20,145.7,69.3,4
"Female",18,171.4,66.3,2
"Female",20,115,60.7,5
"Female",19,152,65.6,4
"Female",20,143.3,63.1,5
"Female",21,164.1,63.5,3
"Female",19,160.6,65.4,3
"Male",18,137.5,82,5
"Male",17,169,73.8,2
"Female",18,160.2,65.7,3
"Female",19,95.6,66.2,2
"Female",22,196.3,66,2
"Female",20,144.3,65.4,2
"Male",17,232,75.1,4
"Female",19,158.8,67.8,4
"Male",22,200.2,66.5,2
"Female",22,193,63.3,2
"Male",17,189.8,65.9,2
"Male",21,219,66.8,2
"Female",22,121.9,62.8,3
"Female",18,143.8,70.4,3
"Male",17,202.7,71.2,4
"Male",20,138.3,71.2,2
"Male",20,157.8,71.3,5
"Female",20,163.9,68.8,2
"Female",20,146.1,62.5,4
"Male",22,166.4,73.6,5
"Male",18,148.3,64.4,7
"Female",17,155.2,66.1,4
"Male",18,205.1,70,4
"Female",19,109.3,66.8,2
"Male",18,168.9,74.2,2
"Male",17,187.7,67.2,3
"Female",21,202.6,67.3,4
"Male",17,141.4,64.6,2
"Male",18,145.8,71.1,5
"Male",21,174.7,73.4,3
"Female",18,145,62.9,6
"Male",20,162.7,70.9,4
"Female",19,150.8,63.3,4
"Female",18,179.4,68.2,3
"Male",18,177,68.9,2
"Female",17,144.4,67.7,2
"Male",19,101.6,58.6,3
"Female",17,169.3,65.4,4
"Female",21,153,62.5,2
"Male",18,211.7,69.6,2
"Male",20,205.9,65.9,5
"Male",19,173.2,70.1,2
"Male",18,152.7,74.9,3
"Female",17,143.1,65.1,4
"Female",18,123.1,66.6,3
"Male",21,193.5,71.4,2
"Male",21,162.2,74.5,5
"Male",22,190.7,79.5,3
"Male",18,178.3,71.7,7
"Female",17,131.3,67.9,4
"Male",19,132.5,74,7
"Female",20,178.6,65.6,2
"Female",22,156.5,61.6,3
"Female",18,174.7,58.8,2
"Female",21,137.7,71.1,4
"Male",20,144.8,66.8,2
"Male",17,159.9,70.9,6
