"Age","Race.Sex","Year","Survival","SurvivalP","Deaths","qx"
"  0","All","2015",1e+05,1,589,0.00589
"  1","All","2015",99411,0.99411,99,0.0009958656
"  5","All","2015",99312,0.99312,58,0.000584018
" 10","All","2015",99254,0.99254,73,0.0007354867
" 15","All","2015",99181,0.99181,238,0.0023996532
" 20","All","2015",98943,0.98943,440,0.0044470048
" 25","All","2015",98503,0.98503,523,0.005309483
" 30","All","2015",97980,0.9798,623,0.0063584405
" 35","All","2015",97357,0.97357,748,0.0076830634
" 40","All","2015",96609,0.96609,990,0.0102474925
" 45","All","2015",95619,0.95619,1461,0.0152793901
" 50","All","2015",94158,0.94158,2291,0.0243314429
" 55","All","2015",91867,0.91867,3308,0.0360085776
" 60","All","2015",88559,0.88559,4504,0.0508587495
" 65","All","2015",84055,0.84055,5989,0.0712509666
" 70","All","2015",78066,0.78066,8507,0.1089718956
" 75","All","2015",69559,0.69559,11748,0.1688925948
" 80","All","2015",57811,0.57811,15619,0.2701734964
" 85","All","2015",42192,0.42192,17907,0.4244169511
" 90","All","2015",24285,0.24285,14993,0.6173769817
" 95","All","2015",9292,0.09292,7357,0.7917563495
"100","All","2015",1935,0.01935,1935,1
"  0","All Male","2015",1e+05,1,639,0.00639
"  1","All Male","2015",99361,0.99361,111,0.0011171385
"  5","All Male","2015",99250,0.9925,65,0.0006549118
" 10","All Male","2015",99185,0.99185,84,0.0008469023
" 15","All Male","2015",99101,0.99101,327,0.003299664
" 20","All Male","2015",98774,0.98774,639,0.0064693138
" 25","All Male","2015",98135,0.98135,736,0.0074998726
" 30","All Male","2015",97399,0.97399,830,0.0085216481
" 35","All Male","2015",96569,0.96569,954,0.0098789467
" 40","All Male","2015",95615,0.95615,1206,0.0126130837
" 45","All Male","2015",94409,0.94409,1752,0.0185575528
" 50","All Male","2015",92657,0.92657,2776,0.0299599599
" 55","All Male","2015",89881,0.89881,4039,0.0449371947
" 60","All Male","2015",85842,0.85842,5512,0.0642109923
" 65","All Male","2015",80330,0.8033,7013,0.0873023777
" 70","All Male","2015",73317,0.73317,9540,0.1301198903
" 75","All Male","2015",63777,0.63777,12614,0.1977828998
" 80","All Male","2015",51163,0.51163,15873,0.3102437308
" 85","All Male","2015",35290,0.3529,16815,0.4764805894
" 90","All Male","2015",18475,0.18475,12438,0.6732341001
" 95","All Male","2015",6037,0.06037,5038,0.8345204572
"100","All Male","2015",999,0.00999,999,1
"  0","All Female","2015",1e+05,1,538,0.00538
"  1","All Female","2015",99462,0.99462,86,0.0008646518
"  5","All Female","2015",99376,0.99376,50,0.0005031396
" 10","All Female","2015",99326,0.99326,61,0.0006141393
" 15","All Female","2015",99265,0.99265,144,0.0014506624
" 20","All Female","2015",99121,0.99121,230,0.0023203963
" 25","All Female","2015",98891,0.98891,300,0.0030336431
" 30","All Female","2015",98591,0.98591,412,0.0041788804
" 35","All Female","2015",98179,0.98179,539,0.0054899724
" 40","All Female","2015",97640,0.9764,773,0.0079168374
" 45","All Female","2015",96867,0.96867,1167,0.0120474465
" 50","All Female","2015",95700,0.957,1805,0.018861024
" 55","All Female","2015",93895,0.93895,2583,0.027509452
" 60","All Female","2015",91312,0.91312,3512,0.0384615385
" 65","All Female","2015",87800,0.878,4973,0.0566400911
" 70","All Female","2015",82827,0.82827,7487,0.0903932293
" 75","All Female","2015",75340,0.7534,10918,0.1449163791
" 80","All Female","2015",64422,0.64422,15474,0.2401974481
" 85","All Female","2015",48948,0.48948,19176,0.3917626869
" 90","All Female","2015",29772,0.29772,17568,0.5900846433
" 95","All Female","2015",12204,0.12204,9480,0.7767944936
"100","All Female","2015",2724,0.02724,2724,1
"  0","White All","2015",1e+05,1,492,0.00492
