"sample_size","Variables","Population_Parameter_Values","Sample_Statistic_Values","Absolute_Difference"
1,"Proportion Male:",0.435,0,0.435
1,"Mean Age:",19.508,20,0.492
1,"Mean Weight:",162.157,138,24.157
1,"Mean Height:",67.187,60.8,6.387
1,"Mean Number of Classes:",3.481,5,1.519
2,"Proportion Male:",0.435,0.5,0.065
2,"Mean Age:",19.508,19.5,0.008
2,"Mean Weight:",162.157,167.05,4.893
2,"Mean Height:",67.187,65.8,1.387
2,"Mean Number of Classes:",3.481,4,0.519
3,"Proportion Male:",0.435,0.667,0.232
3,"Mean Age:",19.508,20.333,0.825
3,"Mean Weight:",162.157,184.6,22.443
3,"Mean Height:",67.187,68.133,0.946
3,"Mean Number of Classes:",3.481,3.667,0.186
4,"Proportion Male:",0.435,0.75,0.315
4,"Mean Age:",19.508,20,0.492
4,"Mean Weight:",162.157,188.675,26.518
4,"Mean Height:",67.187,70.15,2.963
4,"Mean Number of Classes:",3.481,3.5,0.019
5,"Proportion Male:",0.435,0.8,0.365
5,"Mean Age:",19.508,19.6,0.092
5,"Mean Weight:",162.157,183.6,21.443
5,"Mean Height:",67.187,70.46,3.273
5,"Mean Number of Classes:",3.481,3.6,0.119
6,"Proportion Male:",0.435,0.833,0.398
6,"Mean Age:",19.508,19.167,0.341
6,"Mean Weight:",162.157,177.817,15.66
6,"Mean Height:",67.187,71.433,4.246
6,"Mean Number of Classes:",3.481,3.667,0.186
7,"Proportion Male:",0.435,0.714,0.279
7,"Mean Age:",19.508,19.429,0.079
7,"Mean Weight:",162.157,174.129,11.972
7,"Mean Height:",67.187,70.143,2.956
7,"Mean Number of Classes:",3.481,3.714,0.233
8,"Proportion Male:",0.435,0.625,0.19
8,"Mean Age:",19.508,19.25,0.258
8,"Mean Weight:",162.157,169.425,7.268
8,"Mean Height:",67.187,69.375,2.188
8,"Mean Number of Classes:",3.481,3.5,0.019
9,"Proportion Male:",0.435,0.667,0.232
9,"Mean Age:",19.508,19,0.508
9,"Mean Weight:",162.157,168.2,6.043
9,"Mean Height:",67.187,70.3,3.113
9,"Mean Number of Classes:",3.481,3.444,0.037
10,"Proportion Male:",0.435,0.6,0.165
10,"Mean Age:",19.508,18.8,0.708
10,"Mean Weight:",162.157,164.3,2.143
10,"Mean Height:",67.187,69.72,2.533
10,"Mean Number of Classes:",3.481,3.3,0.181
11,"Proportion Male:",0.435,0.545,0.11
11,"Mean Age:",19.508,18.727,0.781
11,"Mean Weight:",162.157,163.627,1.47
11,"Mean Height:",67.187,69.191,2.004
11,"Mean Number of Classes:",3.481,3.182,0.299
12,"Proportion Male:",0.435,0.583,0.148
12,"Mean Age:",19.508,18.833,0.675
12,"Mean Weight:",162.157,162.375,0.218
12,"Mean Height:",67.187,69.017,1.83
12,"Mean Number of Classes:",3.481,3.417,0.064
13,"Proportion Male:",0.435,0.538,0.103
13,"Mean Age:",19.508,19,0.508
13,"Mean Weight:",162.157,163.238,1.081
13,"Mean Height:",67.187,68.338,1.151
13,"Mean Number of Classes:",3.481,3.308,0.173
14,"Proportion Male:",0.435,0.571,0.136
14,"Mean Age:",19.508,19.071,0.437
14,"Mean Weight:",162.157,162.714,0.557
14,"Mean Height:",67.187,68.386,1.199
14,"Mean Number of Classes:",3.481,3.5,0.019
15,"Proportion Male:",0.435,0.6,0.165
15,"Mean Age:",19.508,18.933,0.575
15,"Mean Weight:",162.157,164.113,1.956
15,"Mean Height:",67.187,68.887,1.7
15,"Mean Number of Classes:",3.481,3.4,0.081
16,"Proportion Male:",0.435,0.562,0.127
16,"Mean Age:",19.508,19.062,0.446
16,"Mean Weight:",162.157,163.25,1.093
16,"Mean Height:",67.187,68.806,1.619
16,"Mean Number of Classes:",3.481,3.375,0.106
17,"Proportion Male:",0.435,0.529,0.094
17,"Mean Age:",19.508,19.235,0.273
17,"Mean Weight:",162.157,164.924,2.767
17,"Mean Height:",67.187,68.441,1.254
17,"Mean Number of Classes:",3.481,3.412,0.069
18,"Proportion Male:",0.435,0.556,0.121
18,"Mean Age:",19.508,19.389,0.119
18,"Mean Weight:",162.157,164.189,2.032
18,"Mean Height:",67.187,68.717,1.53
18,"Mean Number of Classes:",3.481,3.333,0.148
19,"Proportion Male:",0.435,0.579,0.144
19,"Mean Age:",19.508,19.263,0.245
19,"Mean Weight:",162.157,164.321,2.164
19,"Mean Height:",67.187,68.568,1.381
19,"Mean Number of Classes:",3.481,3.316,0.165
20,"Proportion Male:",0.435,0.6,0.165
20,"Mean Age:",19.508,19.25,0.258
20,"Mean Weight:",162.157,164.065,1.908
20,"Mean Height:",67.187,68.21,1.023
20,"Mean Number of Classes:",3.481,3.45,0.031
21,"Proportion Male:",0.435,0.571,0.136
21,"Mean Age:",19.508,19.19,0.318
21,"Mean Weight:",162.157,162.624,0.467
21,"Mean Height:",67.187,68.029,0.842
21,"Mean Number of Classes:",3.481,3.381,0.1
22,"Proportion Male:",0.435,0.545,0.11
22,"Mean Age:",19.508,19.136,0.372
22,"Mean Weight:",162.157,160.523,1.634
22,"Mean Height:",67.187,68.123,0.936
22,"Mean Number of Classes:",3.481,3.364,0.117
23,"Proportion Male:",0.435,0.522,0.087
23,"Mean Age:",19.508,19.261,0.247
23,"Mean Weight:",162.157,160.539,1.618
23,"Mean Height:",67.187,68.07,0.883
23,"Mean Number of Classes:",3.481,3.304,0.177
24,"Proportion Male:",0.435,0.5,0.065
24,"Mean Age:",19.508,19.167,0.341
24,"Mean Weight:",162.157,158.121,4.036
24,"Mean Height:",67.187,67.925,0.738
24,"Mean Number of Classes:",3.481,3.292,0.189
25,"Proportion Male:",0.435,0.52,0.085
25,"Mean Age:",19.508,19.12,0.388
25,"Mean Weight:",162.157,158.948,3.209
25,"Mean Height:",67.187,68.036,0.849
25,"Mean Number of Classes:",3.481,3.28,0.201
26,"Proportion Male:",0.435,0.5,0.065
26,"Mean Age:",19.508,19.154,0.354
26,"Mean Weight:",162.157,156.977,5.18
26,"Mean Height:",67.187,67.85,0.663
26,"Mean Number of Classes:",3.481,3.308,0.173
27,"Proportion Male:",0.435,0.519,0.084
27,"Mean Age:",19.508,19.259,0.249
27,"Mean Weight:",162.157,156.441,5.716
27,"Mean Height:",67.187,67.763,0.576
27,"Mean Number of Classes:",3.481,3.444,0.037
28,"Proportion Male:",0.435,0.5,0.065
28,"Mean Age:",19.508,19.286,0.222
28,"Mean Weight:",162.157,157.189,4.968
28,"Mean Height:",67.187,67.811,0.624
28,"Mean Number of Classes:",3.481,3.429,0.052
29,"Proportion Male:",0.435,0.517,0.082
29,"Mean Age:",19.508,19.31,0.198
29,"Mean Weight:",162.157,158.714,3.443
29,"Mean Height:",67.187,68.076,0.889
29,"Mean Number of Classes:",3.481,3.483,0.002
30,"Proportion Male:",0.435,0.5,0.065
30,"Mean Age:",19.508,19.4,0.108
30,"Mean Weight:",162.157,159.53,2.627
30,"Mean Height:",67.187,67.82,0.633
30,"Mean Number of Classes:",3.481,3.433,0.048
31,"Proportion Male:",0.435,0.484,0.049
31,"Mean Age:",19.508,19.484,0.024
31,"Mean Weight:",162.157,158.977,3.18
31,"Mean Height:",67.187,67.681,0.494
31,"Mean Number of Classes:",3.481,3.484,0.003
32,"Proportion Male:",0.435,0.469,0.034
32,"Mean Age:",19.508,19.531,0.023
32,"Mean Weight:",162.157,158.881,3.276
32,"Mean Height:",67.187,67.659,0.472
32,"Mean Number of Classes:",3.481,3.5,0.019
33,"Proportion Male:",0.435,0.455,0.02
33,"Mean Age:",19.508,19.606,0.098
33,"Mean Weight:",162.157,157.703,4.454
33,"Mean Height:",67.187,67.521,0.334
33,"Mean Number of Classes:",3.481,3.485,0.004
34,"Proportion Male:",0.435,0.441,0.006
34,"Mean Age:",19.508,19.647,0.139
34,"Mean Weight:",162.157,156.047,6.11
34,"Mean Height:",67.187,67.403,0.216
34,"Mean Number of Classes:",3.481,3.559,0.078
35,"Proportion Male:",0.435,0.457,0.022
35,"Mean Age:",19.508,19.629,0.121
35,"Mean Weight:",162.157,156.546,5.611
35,"Mean Height:",67.187,67.286,0.099
35,"Mean Number of Classes:",3.481,3.514,0.033
36,"Proportion Male:",0.435,0.444,0.009
36,"Mean Age:",19.508,19.639,0.131
36,"Mean Weight:",162.157,156.533,5.624
36,"Mean Height:",67.187,67.011,0.176
36,"Mean Number of Classes:",3.481,3.528,0.047
37,"Proportion Male:",0.435,0.459,0.024
37,"Mean Age:",19.508,19.649,0.141
37,"Mean Weight:",162.157,156.33,5.827
37,"Mean Height:",67.187,67.157,0.03
37,"Mean Number of Classes:",3.481,3.541,0.06
38,"Proportion Male:",0.435,0.474,0.039
38,"Mean Age:",19.508,19.605,0.097
38,"Mean Weight:",162.157,157.234,4.923
38,"Mean Height:",67.187,67.347,0.16
38,"Mean Number of Classes:",3.481,3.579,0.098
39,"Proportion Male:",0.435,0.487,0.052
39,"Mean Age:",19.508,19.564,0.056
39,"Mean Weight:",162.157,157.997,4.16
39,"Mean Height:",67.187,67.403,0.216
39,"Mean Number of Classes:",3.481,3.564,0.083
40,"Proportion Male:",0.435,0.5,0.065
40,"Mean Age:",19.508,19.6,0.092
40,"Mean Weight:",162.157,157.85,4.307
40,"Mean Height:",67.187,67.445,0.258
40,"Mean Number of Classes:",3.481,3.6,0.119
41,"Proportion Male:",0.435,0.512,0.077
41,"Mean Age:",19.508,19.585,0.077
41,"Mean Weight:",162.157,158.812,3.345
41,"Mean Height:",67.187,67.432,0.245
41,"Mean Number of Classes:",3.481,3.683,0.202
42,"Proportion Male:",0.435,0.5,0.065
42,"Mean Age:",19.508,19.619,0.111
42,"Mean Weight:",162.157,157.826,4.331
42,"Mean Height:",67.187,67.381,0.194
42,"Mean Number of Classes:",3.481,3.667,0.186
43,"Proportion Male:",0.435,0.512,0.077
43,"Mean Age:",19.508,19.558,0.05
